Small Unit Installation Postcode,Previous Years (2001-2019) - Installation Quantity,Previous Years (2001-2019) - SGU Output Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
3153,1528,10017.336,12,69.580,15,82.635,26,194.595,16,130.490,11,61.140,16,315.885,22,267.280,4,27.510,4,39.270,15,210.020,38,492.330,21,376.660,24,283.260,16,141.385,26,176.405,24,159.420,14,157.590,32,265.780,24,261.410,36,293.967,23,287.220,26,251.200,28,308.460,25,326.050,2026,15196.878
3154,300,1113.595,6,38.165,4,22.860,4,32.100,0,0.000,5,31.640,1,6.600,6,47.605,0,0.000,0,0.000,3,23.950,8,46.065,4,27.630,3,19.910,5,37.230,6,41.800,2,13.250,3,23.160,7,50.125,3,19.830,3,16.275,2,13.320,7,38.578,2,13.300,2,19.110,386,1696.098
3155,1464,5500.703,22,122.320,27,173.230,20,240.920,12,70.220,12,95.350,13,80.215,29,173.225,1,6.600,3,97.670,11,86.750,32,216.160,23,246.920,20,114.440,17,97.320,26,166.710,25,137.745,21,167.985,40,241.400,26,165.500,17,131.090,9,54.985,15,100.300,31,200.770,17,104.090,1933,8792.618
3156,2939,11575.957,23,152.705,38,256.975,33,240.045,47,289.165,31,177.620,28,199.160,53,444.715,12,86.600,1,6.600,27,184.635,45,304.060,51,456.640,28,274.425,47,341.420,48,319.100,51,446.940,31,228.965,45,354.245,39,303.815,37,299.100,32,257.475,48,365.800,32,331.790,37,304.550,3803,18202.502
3158,376,1523.949,2,13.200,5,29.420,7,51.710,7,40.845,10,64.940,4,23.400,5,23.420,1,6.615,0,0.000,3,16.280,11,66.180,4,33.180,4,28.790,4,30.160,10,79.250,4,23.670,5,49.320,7,46.360,5,40.140,6,49.290,3,15.260,7,50.130,6,58.620,6,43.975,502,2408.104
3159,165,636.365,0,0.000,2,11.880,3,19.815,5,30.260,1,4.800,2,19.800,2,14.740,1,1.860,1,4.500,3,16.980,4,31.120,0,0.000,2,10.590,0,0.000,3,21.120,3,16.640,5,40.640,2,11.940,4,25.990,1,13.320,3,22.860,3,20.090,3,23.650,2,19.930,220,1018.890
3160,536,2200.163,8,49.555,8,52.650,6,35.880,7,42.460,10,60.860,4,34.010,5,38.010,5,32.560,0,0.000,6,43.740,10,71.590,11,91.030,6,47.170,6,41.220,11,104.250,10,61.575,9,64.650,6,43.260,7,48.840,6,41.680,8,70.120,5,38.480,8,55.100,6,45.880,704,3414.733
3161,334,1765.449,3,16.890,6,74.005,6,53.500,7,75.110,4,40.530,7,43.080,4,127.650,1,6.600,2,27.500,7,78.500,7,53.700,17,140.510,4,29.910,12,109.695,9,58.070,5,38.940,5,34.440,8,74.745,3,19.590,4,27.450,4,32.930,5,58.020,4,36.290,9,67.955,477,3091.059
3162,583,2650.569,7,45.360,11,72.650,6,39.740,5,36.110,6,42.015,4,36.920,10,75.750,2,12.710,0,0.000,3,20.565,13,93.920,9,63.660,7,56.275,15,104.470,15,90.290,12,81.690,16,112.200,9,56.630,9,69.940,9,67.011,5,36.690,14,110.400,13,90.530,9,71.420,792,4137.515
3163,1024,3687.099,17,96.605,12,61.500,13,156.060,11,64.460,8,51.700,10,85.630,15,89.305,5,34.830,2,16.040,7,47.540,15,91.640,14,89.970,20,136.340,15,95.140,15,83.370,18,108.050,9,81.590,9,54.975,14,89.365,17,108.035,9,69.825,17,152.655,23,222.035,15,132.500,1334,5906.259
3164,20,543.560,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,20,543.560
3165,1196,4489.410,19,130.730,20,105.945,19,140.290,10,63.670,20,110.710,14,103.610,18,117.920,3,21.900,2,6.600,14,88.650,21,141.660,22,121.330,27,189.510,25,166.010,26,170.150,26,176.420,17,137.520,16,141.400,18,160.080,33,236.770,17,129.010,22,156.955,22,159.355,16,208.630,1643,7674.235
3166,1004,4498.269,10,86.940,17,96.080,13,71.030,9,74.060,8,41.325,11,105.755,15,99.890,5,32.480,0,0.000,10,117.890,15,98.065,20,211.480,18,141.505,13,80.360,16,100.460,16,94.195,15,115.595,20,309.550,18,131.700,17,117.975,9,88.420,13,155.940,18,128.290,15,127.305,1325,7124.559
3167,529,2297.513,5,65.940,10,127.930,3,18.825,8,52.290,3,20.820,10,69.860,9,81.985,4,23.880,0,0.000,6,37.510,14,89.510,16,132.990,7,45.230,4,52.790,14,223.530,8,50.350,7,38.610,4,26.280,10,74.900,7,124.550,7,42.740,5,33.790,15,134.570,8,144.630,713,4011.023
3168,553,3132.320,6,27.395,8,70.120,17,246.505,7,45.030,6,125.260,10,94.600,11,274.935,4,14.600,0,0.000,7,249.900,9,84.610,9,186.360,8,49.400,12,101.870,8,53.610,13,79.720,7,76.470,9,50.820,21,172.420,7,82.690,4,43.970,7,52.175,11,167.480,6,57.610,760,5539.870
3169,1016,4600.989,15,91.615,24,143.440,11,92.220,8,48.975,11,68.605,10,75.775,28,205.550,6,72.470,2,41.070,13,81.140,28,209.020,24,234.525,18,121.110,23,157.960,25,157.650,14,90.365,15,92.345,21,171.910,11,92.320,15,160.990,13,93.950,15,109.100,23,245.980,18,248.845,1407,7707.919
3170,1225,5812.587,20,123.780,22,141.380,16,192.730,14,92.590,21,171.485,21,129.475,28,262.500,7,74.810,4,52.180,15,86.250,27,268.630,31,573.010,28,201.890,22,163.130,28,165.870,25,169.650,33,224.120,21,168.585,24,244.710,18,234.370,8,86.835,18,130.420,26,234.260,18,213.765,1720,10219.012
3171,1244,5099.810,14,81.445,19,122.755,21,144.860,10,66.215,14,81.175,12,77.205,20,169.775,6,93.120,2,45.870,14,153.340,23,248.890,22,167.100,22,156.680,27,161.905,23,388.900,15,98.720,22,575.360,19,168.305,17,126.590,25,210.000,11,89.500,46,386.235,19,228.780,18,280.650,1685,9423.185
3172,1440,5985.106,19,116.835,27,286.800,32,212.930,18,111.865,21,137.135,18,132.225,22,180.710,5,33.075,3,46.500,12,81.210,36,232.190,30,213.725,25,167.540,26,171.720,34,251.480,33,236.005,29,182.850,26,299.985,31,263.250,17,114.825,16,159.790,20,149.400,17,166.350,19,157.665,1976,10091.166
3173,2458,11562.236,39,242.835,44,346.865,36,246.935,31,324.655,35,328.765,42,304.100,76,588.475,11,87.850,1,4.950,41,314.475,78,533.795,66,487.320,40,273.435,57,506.260,51,372.440,51,433.130,36,232.855,36,286.500,59,417.045,37,340.990,26,206.045,33,259.165,35,238.230,21,346.435,3440,19285.786
3174,1870,7256.318,31,168.985,31,199.450,39,226.695,27,174.765,28,178.400,31,199.730,50,371.495,10,61.560,3,57.620,19,115.750,60,389.625,54,477.840,34,206.330,44,273.130,45,286.600,32,227.570,24,160.010,31,241.495,45,368.775,22,231.245,24,191.440,23,153.890,28,207.135,21,161.605,2626,12587.458
3175,2839,21569.528,39,420.920,46,627.180,42,505.500,42,388.710,38,566.180,42,823.525,79,1242.146,18,484.150,6,72.910,32,487.220,57,519.325,55,709.405,48,328.460,36,471.310,43,451.430,38,336.010,48,1118.895,55,639.655,45,552.695,50,950.845,38,407.135,43,705.390,64,949.005,49,778.170,3892,36105.699
3176,1,5.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,5.100
3177,585,2076.887,4,21.840,11,66.150,7,38.060,6,32.380,8,51.015,13,101.680,15,88.790,2,35.640,1,6.600,8,47.120,19,120.195,11,73.755,8,48.790,12,72.900,8,55.510,12,72.710,7,45.580,18,207.370,8,61.730,5,32.930,7,50.290,14,87.560,11,72.370,9,59.780,809,3627.632
3178,2965,11399.398,56,300.930,52,447.800,38,258.955,33,207.945,38,225.980,26,182.030,42,273.265,15,93.300,7,27.900,16,96.120,70,525.545,55,464.240,43,234.140,44,290.840,48,352.470,38,268.900,37,242.975,42,265.140,41,298.795,44,327.905,34,219.655,30,192.550,69,491.125,38,287.030,3921,17974.933
3179,471,2828.278,4,25.830,3,16.545,8,56.340,5,27.525,2,13.110,2,9.890,10,70.370,0,0.000,0,0.000,4,21.570,16,105.190,11,66.980,10,59.600,4,26.120,11,166.410,6,38.080,6,81.795,6,70.600,7,71.495,6,71.010,5,32.500,7,48.470,6,43.725,5,158.055,615,4109.488
3180,641,3092.665,2,39.615,11,63.590,10,61.875,5,32.120,6,66.135,2,9.570,18,112.485,4,32.470,2,36.640,12,80.840,23,174.055,11,107.560,9,54.690,11,78.540,12,81.830,6,34.890,6,36.450,7,48.500,10,162.750,7,44.030,9,83.860,9,176.480,10,73.130,14,107.610,857,4892.380
3181,292,1355.188,1,6.300,9,45.555,5,29.140,2,18.900,3,12.540,6,55.920,4,23.300,1,2.640,1,29.640,4,22.110,3,10.320,5,25.620,3,20.675,3,20.180,4,23.570,2,7.290,3,13.475,3,15.575,2,9.850,5,46.040,2,27.320,3,22.870,4,20.800,0,0.000,370,1864.818
3182,298,1387.640,2,9.660,3,14.880,4,19.230,4,16.950,5,26.610,2,8.910,4,25.420,3,38.700,0,0.000,0,0.000,10,57.590,3,16.120,2,18.765,3,18.130,2,8.680,2,13.240,0,0.000,1,6.650,5,53.280,5,77.650,0,0.000,5,40.250,2,12.060,5,108.410,370,1978.825
3183,336,1300.440,4,27.340,3,18.920,6,33.300,1,5.280,2,7.770,4,18.890,4,19.890,2,16.900,1,18.810,3,20.970,5,26.180,10,64.980,1,5.610,4,23.535,6,45.130,7,39.540,4,27.240,3,19.190,6,35.730,2,12.520,4,29.390,7,69.975,10,68.790,9,58.565,444,2014.885
3184,343,1277.455,3,21.035,3,13.300,5,27.800,4,15.735,3,12.720,5,29.290,2,10.890,2,12.060,0,0.000,1,4.950,6,29.960,7,21.500,3,15.280,3,14.820,6,40.990,5,32.480,5,31.540,1,1.750,1,6.570,3,26.580,3,22.800,4,25.840,9,63.320,13,76.360,440,1835.025
3185,372,1488.031,5,26.370,6,35.505,4,29.160,6,31.730,10,53.105,6,40.690,6,32.985,2,18.125,2,12.300,2,13.970,4,21.480,6,48.230,8,49.930,4,22.060,10,71.330,10,67.330,5,39.065,4,21.460,10,55.500,3,27.990,8,85.390,5,41.155,4,34.050,8,62.380,510,2429.321
3186,850,4176.921,13,81.515,5,44.290,19,225.190,11,77.550,14,79.515,7,77.570,10,76.515,7,40.220,10,84.600,7,112.825,12,79.525,18,173.885,7,60.050,10,75.285,13,73.030,14,124.250,18,170.315,13,93.460,13,106.245,13,104.500,5,118.700,11,127.780,9,69.703,14,123.600,1123,6577.039
3187,790,2882.707,6,132.900,12,65.180,14,120.530,6,53.520,6,39.735,8,48.895,10,146.495,4,28.440,5,55.870,2,11.840,19,129.270,11,79.565,16,119.945,7,49.340,28,162.750,9,58.160,5,59.400,11,164.440,9,62.000,10,73.070,8,86.720,7,48.670,21,157.310,14,295.510,1038,5132.262
3188,760,3017.169,10,66.600,14,97.180,15,87.780,10,75.465,11,66.240,13,68.110,7,31.400,0,0.000,1,6.160,7,45.650,8,46.750,14,93.350,9,74.200,16,117.870,17,138.770,18,128.500,5,43.345,12,79.890,7,42.480,9,68.790,9,74.110,11,84.425,11,91.530,9,61.590,1003,4707.354
3189,426,3051.711,2,15.180,9,53.270,6,28.460,7,143.060,5,37.595,6,37.175,6,74.630,0,0.000,7,86.980,6,63.410,10,132.130,11,174.430,3,16.220,8,74.820,11,71.930,6,64.400,6,72.780,9,66.945,6,35.490,8,164.960,2,12.580,11,130.100,6,33.990,7,103.060,584,4745.306
3190,397,1724.473,4,22.670,3,16.650,8,62.220,5,27.315,4,32.310,5,33.415,10,68.340,1,4.810,0,0.000,4,31.455,9,55.720,7,81.740,5,31.770,10,60.110,12,62.210,3,18.215,4,24.220,12,64.230,4,32.150,6,26.200,7,47.770,7,80.630,10,70.280,5,135.390,542,2814.293
3191,444,2056.615,5,32.150,12,66.100,7,52.525,4,33.705,9,56.875,5,40.760,9,54.395,2,11.300,0,0.000,1,6.600,16,106.910,8,55.310,5,38.150,12,91.400,15,106.340,9,61.740,7,59.550,7,75.270,8,77.760,12,104.205,5,42.260,4,32.670,11,95.020,6,52.195,623,3409.805
3192,1090,5556.328,13,81.350,11,94.760,14,154.670,14,171.380,5,28.710,14,131.865,11,74.070,2,11.040,3,16.800,16,136.730,25,184.560,13,80.695,14,95.480,17,122.750,22,155.390,13,79.060,14,216.410,17,118.060,22,134.940,17,167.020,12,114.850,22,274.770,24,304.050,14,158.310,1439,8664.048
3193,946,4200.337,10,60.145,10,73.840,20,132.505,15,85.285,7,48.245,8,48.060,22,159.320,3,19.520,2,14.060,9,74.740,20,155.775,27,197.830,16,109.410,18,133.560,23,139.560,16,180.705,13,84.480,17,151.915,15,131.450,18,116.575,12,87.035,15,138.110,19,242.090,10,68.900,1291,6853.452
