Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
3200,388,1510.63,3,23.755,2,13.27,1,5.07,2,10.58,6,41.17,3,11.78,2,13.68,5,31.5,3,19.92,0,0,3,13.555,2,12.1,1,7.885,1,6.225,422,1721.12
3201,2447,14860.062,9,56.72,16,119.42,18,209.415,12,79.07,21,195.47,19,155.06,22,154.03,8,53.94,17,209.555,20,162.21,18,188.31,17,124.865,10,64.95,5,36.52,2659,16669.597
3202,211,1608.961,2,42.06,2,10.985,3,18.59,1,99.9,0,0,0,0,2,10.39,1,6.63,2,17.015,1,44.46,5,37.03,2,13.31,0,0,3,18.675,235,1928.006
3204,1710,8616.742,12,77.46,12,86.62,21,156.11,12,88.72,16,152.275,14,92.48,13,104.185,27,221.25,23,165.115,13,94.385,20,137.285,21,280.095,15,128.615,5,28.275,1934,10429.612
3205,254,1677.424,1,8.19,1,1.65,4,60.03,1,28.08,2,10.53,2,10.16,2,26.91,3,32.7,2,46.6,2,17.82,3,37.1,5,76.44,3,17.2,0,0,285,2050.834
3206,368,1655.754,3,20.72,2,12.89,0,0,0,0,4,24.7,1,7.055,3,28.505,4,31.305,2,10.775,7,102.2,4,20.86,6,45.34,1,6.375,1,8.3,406,1974.779
3207,425,3945.551,1,4.44,4,15.72,10,203.49,4,50.435,4,52.1,4,115.87,3,24.39,4,116.34,5,43.91,5,25.7,2,12.66,4,127.315,1,6.64,2,17.015,478,4761.576
3211,235,1569.75,0,0,1,6.8,0,0,1,15.75,1,6.64,1,6.66,0,0,1,9.135,2,18.19,1,6.64,1,7.055,1,9.96,1,6.64,0,0,246,1663.22
3212,2162,10619.362,9,72.19,15,100.605,14,97.56,15,127.26,22,167.185,8,59.65,18,149.27,21,156.715,19,158.27,10,78.055,18,163.59,15,131.45,10,70.335,11,87.89,2367,12239.387
3213,491,3458.857,2,11.75,6,48.67,3,42.8,3,26.32,6,70.68,6,52.29,7,54.44,2,27.01,4,33.24,5,44.86,3,32.85,4,33.62,3,24.805,2,10.69,547,3972.882
3214,2146,9084.639,11,53.8,18,105.4,38,264.36,21,141.515,13,53.505,13,81.66,20,105.8,12,107.025,10,72.93,19,138.965,18,197.106,8,127.168,6,39.45,4,26.55,2357,10599.873
3215,1755,9700.803,5,40.94,15,126,13,111.755,14,301.98,11,102.07,11,180.03,16,145.38,18,130.485,14,116.255,7,138.975,15,105.09,13,100.89,9,59.24,2,13.88,1918,11373.773
