Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
4118,4554,15980.877,33,223.825,35,221.830,33,210.740,38,351.225,33,213.850,29,229.000,42,303.845,34,225.540,48,314.175,41,313.485,48,381.185,48,377.280,44,306.915,40,298.200,54,402.370,31,250.980,29,272.550,40,297.715,52,392.000,40,312.345,57,460.080,60,466.765,55,548.565,61,522.005,5579,23877.347
4119,1038,4486.701,8,52.755,10,145.330,8,68.805,9,60.810,9,163.220,4,50.925,8,67.715,10,80.675,8,71.325,12,132.165,8,54.120,13,200.315,8,55.155,9,68.010,11,165.100,2,26.400,8,181.110,12,202.020,7,55.245,12,110.570,19,212.450,14,203.875,22,190.900,21,321.170,1290,7426.866
4120,507,1995.673,4,24.355,7,45.265,6,41.965,3,17.730,1,6.600,2,12.925,3,17.820,8,51.775,3,22.155,6,44.900,8,58.215,5,34.080,9,65.010,6,42.635,9,56.295,4,27.690,5,38.310,3,18.315,6,37.000,5,54.880,5,34.955,6,43.800,9,82.745,4,124.180,634,2999.273
4121,2439,9069.766,16,107.685,23,146.595,20,126.210,22,141.993,25,184.940,24,161.200,21,165.880,31,199.690,26,194.510,31,222.965,30,291.110,28,214.705,31,232.080,33,265.200,39,289.220,30,238.270,20,236.725,33,266.770,28,201.890,26,207.230,26,228.250,26,200.105,45,420.080,32,251.565,3105,14264.634
4122,4647,16513.159,31,206.625,29,183.445,37,239.675,23,272.418,18,140.493,25,196.645,29,187.755,31,210.830,43,314.820,53,417.905,50,329.475,51,400.790,49,368.030,34,223.370,58,438.990,28,223.660,53,366.035,60,525.400,51,437.580,38,333.685,58,529.350,49,397.990,55,417.840,49,390.865,5649,24266.830
4123,3003,10907.692,35,240.851,32,209.540,24,161.595,39,287.620,39,363.800,33,218.925,34,247.225,36,271.205,36,260.140,37,276.440,49,357.355,35,269.120,41,300.950,46,334.930,42,313.005,30,255.195,41,359.060,52,407.945,46,415.670,48,471.220,56,443.710,55,423.650,64,542.700,56,466.520,4009,18806.063
4124,3661,14170.603,30,212.710,40,282.500,26,190.615,50,410.975,42,300.559,34,248.565,46,412.585,48,395.075,33,262.710,39,310.390,41,343.200,44,382.945,39,301.175,40,325.265,57,492.765,45,401.855,47,514.150,63,518.565,65,577.695,48,423.830,52,435.680,74,674.715,69,653.585,83,707.065,4816,23949.777
4125,1459,5349.166,20,154.400,13,94.255,16,123.620,17,125.620,14,86.550,22,137.235,13,91.130,12,88.650,17,117.370,13,108.645,9,73.250,14,95.295,18,123.120,15,107.015,21,163.215,20,150.920,19,297.045,17,113.575,22,186.870,21,158.495,24,191.590,15,127.730,34,278.270,29,229.950,1894,8772.981
4127,3334,12502.807,12,130.615,25,191.855,19,134.705,14,89.690,15,97.965,28,183.785,33,260.220,28,344.005,30,229.840,37,371.920,29,231.115,32,426.630,33,279.610,40,373.950,22,206.545,30,321.085,26,267.365,24,209.660,39,358.590,33,348.655,30,267.115,45,362.175,40,356.205,29,392.741,4027,18938.848
4128,2526,8862.299,12,77.685,23,172.645,22,171.330,24,171.660,23,154.820,17,140.255,28,178.525,24,156.775,17,136.710,24,158.510,22,162.925,28,217.290,27,189.190,24,188.560,30,222.735,22,168.470,23,162.850,27,196.025,17,143.385,28,204.170,29,209.890,27,183.320,31,239.210,34,292.130,3109,13161.364
4129,952,3857.505,4,31.300,5,29.915,13,107.760,11,82.835,9,68.025,7,90.885,16,315.985,7,46.950,7,49.375,8,57.630,9,60.725,10,114.800,11,72.135,7,44.280,3,19.815,11,82.630,8,52.880,8,56.455,17,128.360,11,83.390,12,86.760,12,122.990,13,110.850,14,128.680,1185,5902.915
4130,1440,5813.585,12,90.675,12,110.315,7,53.135,12,88.155,12,91.475,10,101.580,9,64.110,8,54.905,10,115.090,17,139.670,14,133.420,13,162.415,8,66.375,9,58.760,14,140.480,18,139.455,16,135.615,12,103.005,21,162.290,13,102.800,11,87.170,20,218.760,18,179.580,15,151.070,1751,8563.890
4131,1109,3995.353,8,81.050,6,38.995,11,63.925,7,41.865,7,46.155,4,27.415,8,87.175,13,90.890,13,80.250,13,74.110,15,105.770,10,78.525,10,79.945,10,63.450,11,78.885,16,124.690,12,90.895,13,104.340,12,90.445,14,105.030,13,174.560,17,130.960,10,145.335,5,32.280,1367,6032.293
4132,2737,9089.897,14,81.235,18,114.090,22,332.960,22,156.160,32,216.530,24,194.070,20,125.740,39,238.185,16,99.125,28,183.755,31,210.840,22,181.335,19,176.010,25,423.675,31,196.180,29,182.685,27,287.660,28,214.430,37,254.290,39,282.585,43,323.725,46,364.350,41,290.100,14,164.900,3404,14384.512
4133,2302,8159.518,30,183.630,31,194.885,25,169.985,24,155.435,25,179.855,29,203.585,26,204.825,36,250.415,24,190.400,29,190.610,31,236.330,25,363.000,33,314.720,27,287.330,43,286.720,17,127.695,33,243.810,33,347.245,39,298.630,36,274.240,46,340.090,32,227.190,31,207.505,26,194.705,3033,13832.353
4151,1041,4715.209,6,38.160,11,84.170,8,60.033,9,71.705,9,53.475,11,81.600,18,137.760,23,170.460,8,64.020,14,203.715,10,111.210,17,154.890,14,123.175,14,102.680,24,359.790,11,125.690,11,92.195,21,185.075,16,109.625,8,49.270,17,127.710,15,89.800,22,214.725,20,189.050,1378,7715.192
4152,4980,18373.941,42,262.198,44,287.220,32,323.885,50,322.945,30,222.030,28,199.020,42,299.065,29,211.650,44,310.720,40,338.540,60,462.645,53,402.550,50,383.570,51,379.845,59,430.635,53,402.390,52,366.010,58,452.985,73,552.320,57,445.550,74,616.050,64,525.250,77,635.915,68,560.005,6210,27766.934
4153,610,2318.688,5,40.445,11,81.536,5,36.555,1,6.270,2,19.200,5,34.941,10,77.115,6,51.730,5,31.835,5,36.235,9,66.385,6,79.140,4,25.865,6,59.115,4,26.630,2,13.200,3,25.095,9,74.035,6,47.850,9,101.740,4,29.610,12,146.165,13,129.830,6,72.310,758,3631.520
4154,1528,6180.433,15,114.215,14,105.800,15,130.435,12,90.000,12,84.360,13,90.620,16,123.825,16,122.030,14,161.955,14,135.985,22,292.265,17,241.970,19,147.710,17,129.370,23,203.140,18,134.345,16,150.595,16,149.640,22,177.735,16,149.235,20,193.405,21,215.050,25,199.185,21,340.240,1942,10063.543
4155,237,1394.719,1,99.900,5,32.195,5,69.645,2,21.750,1,9.600,3,31.155,4,72.650,2,33.045,1,9.900,3,31.160,4,47.400,0,0.000,0,0.000,2,46.200,2,21.050,2,22.440,3,45.345,2,17.140,4,54.600,3,30.235,4,57.720,6,75.730,5,60.905,4,40.680,305,2325.164
4156,575,2553.104,3,18.040,2,13.200,4,26.205,1,12.000,2,16.835,4,24.330,6,38.400,4,36.375,4,49.210,2,13.230,6,44.585,7,63.800,5,39.630,4,43.095,5,51.650,3,30.400,5,40.400,5,63.120,6,56.730,7,64.630,3,19.860,7,65.385,9,74.590,8,81.750,687,3540.554
4157,3147,11617.539,16,112.550,18,183.205,23,234.840,17,141.865,26,268.475,24,148.090,25,165.565,15,81.640,27,195.920,28,201.380,35,268.185,24,225.390,21,154.815,18,125.280,21,219.470,25,207.920,26,188.350,20,163.350,27,286.220,36,367.490,49,378.920,31,358.005,28,216.595,35,459.795,3762,16970.854
4158,450,1404.271,2,12.815,1,6.615,2,13.750,4,21.735,2,13.100,1,6.600,4,26.070,4,23.370,5,23.455,2,11.010,6,34.330,3,29.055,3,20.070,2,9.255,6,35.785,6,47.495,6,42.630,2,8.700,7,50.175,4,27.280,5,31.140,6,50.175,3,13.800,4,29.820,540,1992.501
4159,2499,8080.929,13,74.600,16,97.620,16,99.845,12,76.890,16,108.840,19,127.700,22,140.240,7,45.270,20,120.045,20,139.165,25,281.455,12,91.140,21,143.685,25,181.015,21,151.460,13,94.880,20,133.445,17,121.685,25,171.310,28,216.725,33,239.275,18,148.335,25,178.930,21,175.880,2964,11440.364
4160,3107,10572.245,19,127.495,15,93.620,28,192.185,17,112.330,21,124.785,16,115.400,35,231.150,14,95.220,30,208.700,32,234.950,30,215.250,17,110.005,29,181.795,30,208.045,36,253.835,22,159.415,28,204.475,31,219.515,30,242.490,28,243.800,44,314.130,32,263.910,38,322.615,34,358.120,3763,15405.480
