YEAR,MONTH,DAY,HUMIDITY,WINDSPEED,DATE,TOTALDEMAND,HOLIDAY,MIN,MAX,SOLAR,TEMPAVE,RRP,FORECASTDEMAND,OUTPUT,MONTHDATE,WEEKDAY,WEEKEND
2021,6,29,0.694782608695652,10.695652173913043,2021-06-29,9164.235540069685,0.0,5.6,17.2,6.9,11.399999999999999,65.10170212765958,9156.079234234227,237.485,06-2021,1,0
2021,6,30,0.694782608695652,10.695652173913043,2021-06-30,8766.957118055549,0.0,9.3,19.3,9.1,14.3,70.33042553191488,8908.16629504507,237.485,06-2021,2,0
2021,7,1,0.9249999999999992,9.64,2021-07-01,8971.833819444448,0.0,10.3,16.8,7.9,13.55,87.77707317073173,9032.90724099098,124.44,07-2021,3,0
2021,7,2,0.9249999999999992,9.64,2021-07-02,8502.685208333332,0.0,11.2,18.7,9.1,14.95,75.09651162790698,8550.067586336338,124.44,07-2021,4,0
2021,7,3,0.8506382978723404,10.702127659574469,2021-07-03,8172.567361111106,0.0,4.7,19.3,10.7,12.0,73.73212765957446,8257.335086336343,124.44,07-2021,5,1
2021,7,4,0.6965957446808514,12.553191489361701,2021-07-04,8178.0096875,0.0,3.3,15.8,11.2,9.55,57.648085106382986,8391.10716966965,124.44,07-2021,6,1
2021,7,5,0.5340909090909087,19.568181818181817,2021-07-05,8772.178432835814,0.0,2.8,16.7,11.3,9.75,71.82117647058824,9208.942180930911,124.44,07-2021,0,0
2021,7,6,0.5782978723404253,18.29787234042553,2021-07-06,9269.616601562499,0.0,3.1,15.8,11.1,9.450000000000001,112.3372222222222,9653.793761261233,124.44,07-2021,1,0
2021,7,7,0.6440425531914892,14.170212765957446,2021-07-07,9183.929844961242,0.0,2.4,16.7,10.7,9.549999999999999,103.83818181818182,9423.92554054053,124.44,07-2021,2,0
2021,7,8,0.6995238095238095,11.642857142857142,2021-07-08,9253.107718631181,0.0,2.6,16.9,10.8,9.75,132.76090909090908,9452.95798423424,124.44,07-2021,3,0
2021,7,9,0.7452272727272725,11.25,2021-07-09,9704.557290076335,0.0,5.8,12.3,4.8,9.05,119.24777777777778,9841.555799549566,124.44,07-2021,4,0
2021,7,10,0.8704255319148928,16.148936170212767,2021-07-10,8980.730243055546,0.0,8.6,15.6,7.4,12.1,86.13888888888887,8912.522586336345,124.44,07-2021,5,1
2021,7,11,0.8504081632653058,32.44897959183673,2021-07-11,8317.561736111113,0.0,7.8,17.4,9.9,12.6,62.88953488372092,8406.995724474491,124.44,07-2021,6,1
2021,7,12,0.8772916666666654,16.625,2021-07-12,8892.58701388889,0.0,5.1,18.1,10.8,11.600000000000001,91.70051282051281,9026.56207957957,124.44,07-2021,0,0
2021,7,13,0.7831249999999996,12.958333333333334,2021-07-13,8867.365694444437,0.0,3.5,19.4,11.4,11.45,75.29348837209302,8877.2964527027,124.44,07-2021,1,0
2021,7,14,0.6743750000000001,14.041666666666666,2021-07-14,9403.771143911441,0.0,5.7,16.0,4.2,10.85,77.17756756756758,9103.552500000002,124.44,07-2021,2,0
2021,7,15,0.6910638297872345,16.148936170212767,2021-07-15,8386.636562500002,0.0,8.4,22.5,11.2,15.45,51.65106382978724,8565.024891141136,124.44,07-2021,3,0
2021,7,16,0.6906250000000002,17.0,2021-07-16,8621.091666666667,0.0,8.0,18.6,10.6,13.3,57.723829787234045,8635.271084834825,124.44,07-2021,4,0
2021,7,17,0.6272093023255816,24.27906976744186,2021-07-17,8413.622743055555,0.0,11.8,15.4,11.9,13.600000000000001,48.45326086956521,8583.909237987997,124.44,07-2021,5,1
2021,7,18,0.4986486486486486,30.7027027027027,2021-07-18,7864.702048611119,0.0,6.8,18.7,12.1,12.75,54.77906976744187,8222.855270270262,124.44,07-2021,6,1
2021,7,19,0.5461702127659575,19.80851063829787,2021-07-19,8896.094264705884,0.0,2.7,16.4,10.8,9.549999999999999,97.96705882352943,9302.172004504499,124.44,07-2021,0,0
2021,7,20,0.5953191489361699,17.51063829787234,2021-07-20,9126.672388059702,0.0,3.8,16.4,8.0,10.1,78.92953488372092,9307.685589339335,124.44,07-2021,1,0
2021,7,21,0.5558333333333328,23.125,2021-07-21,8917.471722846441,0.0,8.5,15.9,12.3,12.2,98.16857142857143,9404.343179429423,124.44,07-2021,2,0
2021,7,22,0.5816666666666662,32.104166666666664,2021-07-22,9197.937386759586,0.0,1.5,17.2,12.4,9.35,105.18518518518519,9400.932177177161,124.44,07-2021,3,0
2021,7,23,0.5564583333333336,17.5625,2021-07-23,9351.624548611107,0.0,7.2,16.8,7.9,12.0,119.9811111111111,9495.381550300288,124.44,07-2021,4,0
2021,7,24,0.6634090909090912,13.863636363636363,2021-07-24,8138.85041666667,0.0,7.8,18.3,11.3,13.05,58.56979166666667,8439.535472972955,124.44,07-2021,5,1
2021,7,25,0.5921276595744682,21.638297872340427,2021-07-25,8166.009687500002,0.0,8.7,15.3,12.6,12.0,53.18000000000001,8364.563911411436,124.44,07-2021,6,1
2021,7,26,0.42255319148936177,31.319148936170212,2021-07-26,8442.322465277779,0.0,4.4,20.0,10.5,12.2,53.21191489361702,8667.662057057061,124.44,07-2021,0,0
2021,7,27,0.4962499999999998,17.8125,2021-07-27,8113.121597222223,0.0,5.6,20.2,12.4,12.899999999999999,61.31934782608697,8251.049192942955,124.44,07-2021,1,0
2021,7,28,0.5351219512195124,18.29268292682927,2021-07-28,8027.8794444444375,0.0,7.0,25.4,11.9,16.2,59.625416666666666,8141.105480480476,124.44,07-2021,2,0
2021,7,29,0.43361702127659585,28.72340425531915,2021-07-29,8139.375798611111,0.0,9.0,18.0,13.0,13.5,63.23478260869564,8443.460022522522,124.44,07-2021,3,0
2021,7,30,0.4354166666666668,19.375,2021-07-30,8644.70541666667,0.0,0.6,19.1,13.1,9.850000000000001,58.91255319148936,8712.535735735739,124.44,07-2021,4,0
2021,7,31,0.5390243902439026,13.609756097560975,2021-07-31,7830.762499999997,0.0,3.2,22.9,9.9,13.049999999999999,48.74166666666667,7863.116554054039,124.44,07-2021,5,1
2021,8,1,0.5748936170212766,23.25531914893617,2021-08-01,7335.8223958333365,0.0,9.0,24.6,9.5,16.8,47.29600000000001,7513.042368618626,73.48,08-2021,6,1
2021,8,2,0.5748936170212766,23.25531914893617,2021-08-02,8101.526979166667,2.0,4.4,19.4,12.3,11.899999999999999,55.46041666666665,8327.524222972981,73.48,08-2021,0,0
2021,8,3,0.6471739130434784,17.065217391304348,2021-08-03,8077.243715277775,0.0,10.0,20.2,13.2,15.1,44.10041666666667,8331.968164414424,73.48,08-2021,1,0
2021,8,4,0.602083333333333,22.5625,2021-08-04,8461.227499999992,0.0,5.1,16.0,13.6,10.55,58.24978723404256,8662.52527402404,73.48,08-2021,2,0
2021,8,5,0.48488888888888865,29.066666666666666,2021-08-05,8231.809201388884,0.0,6.4,19.2,13.8,12.8,46.115416666666675,8467.645334084073,73.48,08-2021,3,0
2021,8,6,0.5431914893617024,21.95744680851064,2021-08-06,8027.316944444448,0.0,4.5,21.1,13.8,12.8,57.007083333333334,8193.36815315317,73.48,08-2021,4,0
2021,8,7,0.5469230769230774,13.794871794871796,2021-08-07,7708.0101041666685,0.0,3.6,19.2,14.0,11.4,60.84111111111111,7913.074493243257,73.48,08-2021,5,1
2021,8,8,0.5478378378378379,18.675675675675677,2021-08-08,8134.733993055557,0.0,8.9,17.1,9.8,13.0,68.58066666666666,8028.563810060065,73.48,08-2021,6,1
2021,8,9,0.7640816326530607,17.142857142857142,2021-08-09,8137.611770833327,0.0,7.6,19.9,13.2,13.75,62.434999999999995,8452.100904654642,73.48,08-2021,0,0
2021,8,10,0.7163636363636369,15.659090909090908,2021-08-10,7848.437430555552,0.0,5.2,22.7,13.3,13.95,53.911914893617016,8027.835289039037,73.48,08-2021,1,0
2021,8,11,0.6674468085106384,14.97872340425532,2021-08-11,7423.251319444444,0.0,5.3,25.2,13.7,15.25,52.786458333333336,7664.880792042042,73.48,08-2021,2,0
2021,8,12,0.5051020408163269,23.755102040816325,2021-08-12,7416.477743055553,0.0,14.1,20.4,14.5,17.25,50.475555555555545,7639.7540090090115,73.48,08-2021,3,0
2021,8,13,0.4702040816326532,21.489795918367346,2021-08-13,7864.619513888883,0.0,3.4,20.1,14.7,11.75,56.23791666666665,7928.163656156167,73.48,08-2021,4,0
2021,8,14,0.5370212765957447,13.659574468085106,2021-08-14,7437.676076388884,0.0,3.5,20.7,14.6,12.1,51.45239130434783,7543.060255255259,73.48,08-2021,5,1
2021,8,15,0.6381818181818187,12.477272727272727,2021-08-15,7069.56878472222,0.0,5.2,20.9,14.9,13.049999999999999,34.99404761904763,7252.702608858852,73.48,08-2021,6,1
2021,8,16,0.5004166666666666,14.8125,2021-08-16,7605.546562500002,0.0,4.9,23.0,15.1,13.95,44.377708333333345,7572.564271771798,73.48,08-2021,0,0
2021,8,17,0.3852083333333332,22.604166666666668,2021-08-17,7838.091076388886,0.0,8.2,19.3,15.2,13.75,60.76644444444444,7992.391152402412,73.48,08-2021,1,0
2021,8,18,0.5329787234042557,19.106382978723403,2021-08-18,8053.446354166665,0.0,6.4,19.7,15.1,13.05,72.97318181818183,8156.321910660643,73.48,08-2021,2,0
2021,8,19,0.606666666666667,12.708333333333334,2021-08-19,7924.117361111107,0.0,3.9,22.5,14.9,13.2,59.35458333333333,7958.535300300271,73.48,08-2021,3,0
2021,8,20,0.6827083333333336,13.854166666666666,2021-08-20,7541.788715277776,0.0,6.8,23.7,15.6,15.25,62.07125,7586.30796171173,73.48,08-2021,4,0
2021,8,21,0.6444444444444448,12.622222222222222,2021-08-21,7096.334498269891,0.0,10.5,23.8,13.0,17.15,47.98166666666666,7121.446178678678,73.48,08-2021,5,1
2021,8,22,0.5604347826086957,9.978260869565217,2021-08-22,6629.493784722223,0.0,5.8,27.6,15.9,16.7,30.761458333333334,6809.654902402408,73.48,08-2021,6,1
2021,8,23,0.545744680851064,19.78723404255319,2021-08-23,7265.879965277781,0.0,8.7,26.0,9.5,17.35,50.618125,7318.593171921917,73.48,08-2021,0,0
2021,8,24,0.5217021276595744,19.872340425531913,2021-08-24,8897.354572490704,0.0,9.2,11.9,3.4,10.55,74.79787234042554,8718.661156156144,73.48,08-2021,1,0
2021,8,25,0.9250909090909085,38.92727272727273,2021-08-25,8607.548506944442,0.0,8.1,16.1,11.5,12.100000000000001,73.63956521739132,8606.646460210195,73.48,08-2021,2,0
2021,8,26,0.6102040816326527,32.95918367346939,2021-08-26,8087.75045138889,0.0,4.0,18.9,14.2,11.45,75.55651162790696,8313.022728978993,73.48,08-2021,3,0
2021,8,27,0.6514893617021277,19.78723404255319,2021-08-27,8143.890312500001,0.0,5.0,20.2,14.0,12.6,75.70545454545453,8185.1006456456535,73.48,08-2021,4,0
2021,8,28,0.6193749999999997,18.354166666666668,2021-08-28,7648.190069444445,0.0,9.4,18.7,11.5,14.05,48.47479166666667,7617.549857357358,73.48,08-2021,5,1
2021,8,29,0.6506521739130438,18.76086956521739,2021-08-29,7749.2978125,0.0,4.9,17.7,10.3,11.3,60.56782608695652,7565.568299549538,73.48,08-2021,6,1
2021,8,30,0.7264444444444447,12.0,2021-08-30,7879.275833333333,0.0,3.6,20.4,16.2,12.0,55.127916666666664,7892.002976726736,73.48,08-2021,0,0
2021,8,31,0.5964583333333336,13.0625,2021-08-31,7558.769618055552,0.0,4.9,23.1,17.1,14.0,47.239583333333336,7618.294628378379,73.48,08-2021,1,0
2021,9,1,0.6086363636363638,11.886363636363637,2021-09-01,7222.047013888887,0.0,5.5,25.3,17.5,15.4,43.05041666666667,7376.97246996998,233.595,09-2021,2,0
2021,9,2,0.6086363636363638,11.886363636363637,2021-09-02,7234.873854166665,0.0,10.2,22.8,13.1,16.5,37.964999999999996,7313.670191441436,233.595,09-2021,3,0
2021,9,3,0.6086363636363638,11.886363636363637,2021-09-03,7013.305416666663,0.0,9.2,25.9,17.7,17.549999999999997,48.65833333333333,7139.628494744747,233.595,09-2021,4,0
2021,9,4,0.6557446808510637,26.914893617021278,2021-09-04,7111.45347222222,0.0,10.4,22.5,8.8,16.45,56.142708333333324,7063.039057807804,233.595,09-2021,5,1
2021,9,5,0.7048888888888892,19.355555555555554,2021-09-05,6946.098888888888,0.0,13.1,18.7,15.5,15.899999999999999,41.597500000000004,7018.53647522523,233.595,09-2021,6,1
2021,9,6,0.6616326530612245,24.73469387755102,2021-09-06,7391.635208333335,0.0,7.1,19.9,18.0,13.5,44.99020833333332,7584.946433933925,233.595,09-2021,0,0
2021,9,7,0.5993877551020409,27.591836734693878,2021-09-07,7348.177777777775,0.0,3.3,23.8,18.5,13.55,33.81854166666666,7488.814924924941,233.595,09-2021,1,0
2021,9,8,0.5445652173913043,19.304347826086957,2021-09-08,7216.714513888888,0.0,6.3,23.4,18.6,14.85,43.18479166666666,7396.7074662162095,233.595,09-2021,2,0
